URL: https://portail.museedesconfluences.fr/fr/collections/search?collection=biens&recherche_libre=K%C3%B4m+Ombo&biens_famille=&vue=liste&par_page=80 
TOTAL: 243
notice287302549571862654	90001591	href="/notice287302549571862654?lang=en">Momie de crocodile | | | | | | | | | | | | | Haute Egypte | | Spécimen momifié | | Inv. n°90001591 | | | | | Add to favorites | | | | | | | | | | | <a
notice232496687817625052	51000114	href="/notice232496687817625052?lang=en">momie d’animal | | | | | | | Haute Egypte | | Spécimen momifié | | Inv. n°51000114 | | | | | Add to favorites | | | | | | | | | | | | | | | | | | | | | 1 | | | | 2 | | | | 3 | | | | 4 | | | | | | | | | | Go to
notice213350450035913581	20402242	href="/notice213350450035913581?lang=en">Nodularia nilotica | | | | | | | Haute Egypte | | Figuré | | Fossile | | Inv. n°20402242 | | | | | Add to favorites | | | | | | | | | | | <a
notice127541341343266202	90001250	href="/notice127541341343266202?lang=en">momie d’animal | | | | | | | Haute Egypte | | Spécimen momifié | | Inv. n°90001250 | | | | | Add to favorites | | | | | | | | | | | <a
notice262914673331814449	51000043	href="/notice262914673331814449?lang=en">momie d’animal | | | | | | | Haute Egypte | | Spécimen momifié | | Inv. n°51000043 | | | | | Add to favorites | | | | | | | | | | | <a
notice119259684235576373	90010056	href="/notice119259684235576373?lang=en">MOMIE D’OISEAU | | | | | | | Haute Egypte | | Spécimen momifié | | Inv. n°90010056 | | | | | Add to favorites | | | | | | | | | | | <a
notice143488583473764444	90010140	href="/notice143488583473764444?lang=en">MOMIE D’OISEAU | | | | | | | Haute Egypte | | Spécimen momifié | | Inv. n°90010140 | | | | | Add to favorites | | | | | | | | | | | <a
notice974998822371526507	90010146	href="/notice974998822371526507?lang=en">MOMIE D’OISEAU | | | | | | | Haute Egypte | | Spécimen momifié | | Inv. n°90010146 | | | | | Add to favorites | | | | | | | | | | | <a
notice918935135232883322	90010136	href="/notice918935135232883322?lang=en">MOMIE D’OISEAU | | | | | | | Haute Egypte | | Spécimen momifié | | Inv. n°90010136 | | | | | Add to favorites | | | | | | | | | | | <a
notice217706924740253331	90010135	href="/notice217706924740253331?lang=en">MOMIE D’OISEAU | | | | | | | Haute Egypte | | Spécimen momifié | | Inv. n°90010135 | | | | | Add to favorites | | | | | | | | | | | <a
