obj-212772 | None | Gefäß | Ethnologisches Museum | 18. Jh.-19. Jh.
obj-211162 | Altargruppe | Plastik | Ethnologisches Museum | 18. Jh.-19. Jh.
obj-216329 | None | Tierskulptur in Form eines Kokodils | Ethnologisches Museum | –
obj-254610 | None | Kastenzither (Modell) | Ethnologisches Museum | –
obj-3236486 | кубики телефон [Telefon] | Würfel-Puzzle | Museum Europäischer Kulturen | 1986
obj-462071 | Bildlampen | Gruppenaufnahme | Antikensammlung | –
obj-1583287 | Notre Dame du Cerier. Edelaere 1542. | Wallfahrtsandenken (Marienbild) | Museum Europäischer Kulturen | 1920er Jahre ?
obj-2291834 | None | Tabakpfeifenkopf | Ethnologisches Museum | um 1905
obj-210873 | None | Klangstab | Ethnologisches Museum | 18. Jh.-19. Jh.
obj-1629696 | None | Helm aus Krokodilhaut | Ethnologisches Museum | 19. Jahrhundert / Datierung engl.: 19th century
obj-1955983 | Zoo Kunterbunt. | Malheft | Museum Europäischer Kulturen | 1989
obj-1374798 | Öllampe mit menschlicher Figur zwischen Pflanzen | Lampe | Skulpturensammlung und Museum für Byzantinische Kunst | verbale Datierung: 5./6. Jahrhundert
obj-609498 | None | Halsband | Ethnologisches Museum | 1878
obj-1610905 | Märchen der Völker | Sammelalbum | Museum Europäischer Kulturen | Herstellung: 1933
obj-2357001 | Hadrianus | Münze | Münzkabinett | 134-138 n. Chr.
obj-522861 | o.T. [Tierbilder zum Ausschneiden] | Bilderbogen o. Nr. | Museum Europäischer Kulturen | um 1930
obj-761422 | Stele der Isis-Thermuthis | Relief (Stele) | Ägyptisches Museum und Papyrussammlung | Römische Kaiserzeit
obj-1370006 | bisj | Ahnenpfahl | Ethnologisches Museum | –
obj-1447600 | Steuerquittung für Opferkalb | Blatt (Schriftträger) | Ägyptisches Museum und Papyrussammlung | 2. Jh. n. Chr. / Genauer: 25. März 102 n.Chr.
obj-2373637 | Alexandria: Augustus | Münze | Münzkabinett | um 3-2 v. Chr.
obj-1615708 | None | Bilderlotto (unvollständig) | Museum Europäischer Kulturen | um 1890
obj-2363567 | Augustus | Münze | Münzkabinett | ca. 27-10 v. Chr.
obj-2363564 | Augustus | Münze | Münzkabinett | ca. 27-10 v. Chr.
obj-2373640 | Alexandria: Augustus | Münze | Münzkabinett | 10-9 v. Chr.
obj-2355148 | Röm. Republik: C. Iulius Caesar (Octavianus) | Münze | Münzkabinett | 28 v. Chr.
obj-2363570 | Augustus | Münze | Münzkabinett | ca. 20-10 v. Chr.
obj-2363573 | Augustus | Münze | Münzkabinett | ca. 20-10 v. Chr.
obj-2363571 | Augustus | Münze | Münzkabinett | ca. 20-10 v. Chr.
obj-2363574 | Augustus | Münze | Münzkabinett | ca. 20-10 v. Chr.
obj-2363569 | Augustus | Münze | Münzkabinett | ca. 27-10 v. Chr.
obj-2363581 | Augustus | Münze | Münzkabinett | ca. 20-10 v. Chr.
obj-2363584 | Augustus | Münze | Münzkabinett | ca. 20-10 v. Chr.
obj-2363580 | Augustus | Münze | Münzkabinett | ca. 20-10 v. Chr.
obj-2363585 | Augustus | Münze | Münzkabinett | ca. 20-10 v. Chr.
obj-2363582 | Augustus | Münze | Münzkabinett | ca. 20-10 v. Chr.
obj-2363575 | Augustus | Münze | Münzkabinett | ca. 20-10 v. Chr.
obj-2363576 | Augustus | Münze | Münzkabinett | ca. 20-10 v. Chr.
obj-2363578 | Augustus | Münze | Münzkabinett | ca. 20-10 v. Chr.
obj-2363583 | Augustus | Münze | Münzkabinett | ca. 20-10 v. Chr.
obj-2555151 | Augustus | Münze | Münzkabinett | ca. 10-14 n. Chr.
obj-2555147 | Augustus | Münze | Münzkabinett | ca. 10-14 n. Chr.
obj-2555148 | Augustus | Münze | Münzkabinett | ca. 10-14 n. Chr.
obj-2555150 | Augustus | Münze | Münzkabinett | ca. 10-14 n. Chr.
obj-2555149 | Augustus | Münze | Münzkabinett | ca. 10-14 n. Chr.
obj-2359205 | Röm. Republik: C. Iulius Caesar (Octavianus) | Münze | Münzkabinett | 28 v. Chr.
obj-2363611 | Augustus | Münze | Münzkabinett | ca. 20-10 v.Chr.
obj-2355304 | Augustus | Münze | Münzkabinett | ca. 10-14 n. Chr.
obj-2355305 | Augustus | Münze | Münzkabinett | ca. 10-14 n. Chr.
obj-2590107 | Traianus: Restitution | Münze | Münzkabinett | ca. 112-113 n. Chr.
obj-2353999 | Alexandria: Hadrianus | Münze | Münzkabinett | 131-132 n. Chr.
obj-2355306 | Augustus | Münze | Münzkabinett | ca. 10-14 n. Chr.
obj-2358319 | Alexandria: Elagabalus | Münze | Münzkabinett | 219-220 n. Chr.
