obj-824110 | Hieroglyphischer Papyrus mit dem Totenbuch der Rertet (Platte A) | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 30. Dynastie (Spätzeit -> Ägypten)
obj-828175 | Hieroglyphischer Papyrus mit dem Totenbuch der Hausherrin Keku | Rolle (Schriftträger) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit (Griechisch–Römische Zeit -> Ägypten)
obj-828174 | Hieroglyphischer Papyrus mit dem Totenbuch der Hausherrin Keku | Rolle (Schriftträger) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit (Griechisch–Römische Zeit -> Ägypten)
obj-828156 | Hieroglyphischer Papyrus mit dem Totenbuch der Hausherrin Keku | Rolle (Schriftträger) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit (Griechisch–Römische Zeit -> Ägypten)
obj-828167 | Hieroglyphischer Papyrus mit dem Totenbuch der Hausherrin Keku | Rolle (Schriftträger) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit (Griechisch–Römische Zeit -> Ägypten)
obj-828176 | Hieroglyphischer Papyrus mit dem Totenbuch der Hausherrin Keku | Rolle (Schriftträger) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit (Griechisch–Römische Zeit -> Ägypten)
obj-828173 | Hieroglyphischer Papyrus mit dem Totenbuch der Hausherrin Keku | Rolle (Schriftträger) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit (Griechisch–Römische Zeit -> Ägypten)
obj-828218 | Hieroglyphischer Papyrus, Totenbuch des königlichen Schreibers Nacht-Amun | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 19. Dynastie (Neues Reich -> Ägypten)
obj-828212 | Hieroglyphischer Papyrus, Totenbuch des königlichen Schreibers Nacht-Amun | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 19. Dynastie (Neues Reich -> Ägypten)
obj-828215 | Hieroglyphischer Papyrus, Totenbuch des königlichen Schreibers Nacht-Amun | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 19. Dynastie (Neues Reich -> Ägypten)
obj-828249 | Hieroglyphischer Papyrus mit dem Totenbuch der Rertet (Platte G) | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 30. Dynastie (Spätzeit -> Ägypten)
obj-828243 | Hieroglyphischer Papyrus mit dem Totenbuch der Rertet (Platte B) | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 30. Dynastie (Spätzeit -> Ägypten)
obj-828253 | Hieratischer Papyrus mit dem Totenbuch des Priesters Schem-in-eni | Rolle (Schriftträger) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit (Griechisch–Römische Zeit -> Ägypten)
obj-828216 | Hieroglyphischer Papyrus, Totenbuch des königlichen Schreibers Nacht-Amun | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 19. Dynastie (Neues Reich -> Ägypten)
obj-828219 | Hieroglyphischer Papyrus, Totenbuch des königlichen Schreibers Nacht-Amun | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 19. Dynastie (Neues Reich -> Ägypten)
obj-828217 | Hieroglyphischer Papyrus, Totenbuch des königlichen Schreibers Nacht-Amun | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 19. Dynastie (Neues Reich -> Ägypten)
obj-828246 | Hieroglyphischer Papyrus mit dem Totenbuch der Rertet (Platte E) | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 30. Dynastie (Spätzeit -> Ägypten)
obj-828172 | Hieroglyphischer Papyrus mit dem Totenbuch der Hausherrin Keku | Rolle (Schriftträger) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit (Griechisch–Römische Zeit -> Ägypten)
obj-828248 | Hieroglyphischer Papyrus mit dem Totenbuch der Rertet (Platte F) | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 30. Dynastie (Spätzeit -> Ägypten)
obj-828245 | Hieroglyphischer Papyrus mit dem Totenbuch der Rertet (Platte D) | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 30. Dynastie (Spätzeit -> Ägypten)
obj-828244 | Hieroglyphischer Papyrus mit dem Totenbuch der Rertet (Platte C) | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 30. Dynastie (Spätzeit -> Ägypten)
obj-1620862 | Hieratischer Papyrus mit dem Totenbuch einer unbekannten Person | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 30. Dynastie (Spätzeit -> Ägypten)
obj-1586218 | Hieratischer Papyrus mit dem Totenbuch der Senchonsis | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Spätzeit–frühe Ptolemäerzeit (Ägypten) / Abweichende Datierung: 22. Dynastie (3. Zwischenzeit -> Ägypten)
obj-1586298 | Hieratischer Papyrus mit dem Totenbuch der Ta-iri-Neith | Rolle (Schriftträger ) / Text carrier (papyrus) | Ägyptisches Museum und Papyrussammlung | Spätzeit–frühe Ptolemäerzeit (Ägypten)
